Year,Geography,County,Congressional District,State,Total Population,18 years and over,18 years and over2,"VOTING AGE POPULATION - Citizen, 18 and over population"
2016,5101500US0637037,Los Angeles County (part),Congressional District 37 (115th Congress),California,722138,579089,579089,455342
2016,5101500US0638037,Los Angeles County (part),Congressional District 38 (115th Congress),California,701394,536049,536049,450500
2016,5101500US0638059,Orange County (part),Congressional District 38 (115th Congress),California,15834,12655,12655,11127
2016,5101500US0639037,Los Angeles County (part),Congressional District 39 (115th Congress),California,198582,161004,161004,134094
2016,5101500US0639059,Orange County (part),Congressional District 39 (115th Congress),California,446374,343472,343472,288118
2016,5101500US0639071,San Bernardino County (part),Congressional District 39 (115th Congress),California,77901,59055,59055,53134
2016,5101500US0640037,Los Angeles County (part),Congressional District 40 (115th Congress),California,709435,499959,499959,313882
2016,5101500US0641065,Riverside County (part),Congressional District 41 (115th Congress),California,739304,535376,535376,439093
2016,5101500US0642065,Riverside County (part),Congressional District 42 (115th Congress),California,761341,554073,554073,490862
2016,5101500US0643037,Los Angeles County (part),Congressional District 43 (115th Congress),California,719530,544697,544697,427462
2016,5101500US0644037,Los Angeles County (part),Congressional District 44 (115th Congress),California,721109,515815,515815,378021
2016,5101500US0645059,Orange County (part),Congressional District 45 (115th Congress),California,749687,584935,584935,505172
2016,5101500US0646059,Orange County (part),Congressional District 46 (115th Congress),California,726307,532850,532850,358965
2016,5101500US0647037,Los Angeles County (part),Congressional District 47 (115th Congress),California,419223,322871,322871,274280
2016,5101500US0647059,Orange County (part),Congressional District 47 (115th Congress),California,297735,229084,229084,190002
2016,5101500US0648059,Orange County (part),Congressional District 48 (115th Congress),California,723983,578335,578335,516421
2016,5101500US0649059,Orange County (part),Congressional District 49 (115th Congress),California,172291,129708,129708,117532
2016,5101500US0649073,San Diego County (part),Congressional District 49 (115th Congress),California,557477,431062,431062,387264
2016,5101500US0650065,Riverside County (part),Congressional District 50 (115th Congress),California,87203,62249,62249,57158
2016,5101500US0650073,San Diego County (part),Congressional District 50 (115th Congress),California,648798,493063,493063,425983
2016,5101500US0651025,Imperial County,Congressional District 51 (115th Congress),California,178807,127466,127466,99250
2016,5101500US0651073,San Diego County (part),Congressional District 51 (115th Congress),California,551903,408455,408455,306936
2016,5101500US0652073,San Diego County (part),Congressional District 52 (115th Congress),California,742154,596643,596643,528916
2016,5101500US0653073,San Diego County (part),Congressional District 53 (115th Congress),California,753024,596469,596469,525269
2016,5101500US0801005,Arapahoe County (part),Congressional District 1 (115th Congress),Colorado,53974,43752,43752,40688
2016,5101500US0801031,Denver County,Congressional District 1 (115th Congress),Colorado,663303,525966,525966,462373
2016,5101500US0801059,Jefferson County (part),Congressional District 1 (115th Congress),Colorado,68976,53111,53111,52231
2016,5101500US0802013,Boulder County (part),Congressional District 2 (115th Congress),Colorado,221248,180986,180986,169350
2016,5101500US0802014,Broomfield County,Congressional District 2 (115th Congress),Colorado,62449,47212,47212,44906
2016,5101500US0802019,Clear Creek County,Congressional District 2 (115th Congress),Colorado,9238,7775,7775,7594
2016,5101500US0802037,Eagle County (part),Congressional District 2 (115th Congress),Colorado,15906,12534,12534,10033
2016,5101500US0802047,Gilpin County,Congressional District 2 (115th Congress),Colorado,5708,4584,4584,4493
2016,5101500US0802049,Grand County,Congressional District 2 (115th Congress),Colorado,14490,11855,11855,11256
2016,5101500US0802059,Jefferson County (part),Congressional District 2 (115th Congress),Colorado,79646,62588,62588,61373
2016,5101500US0802069,Larimer County,Congressional District 2 (115th Congress),Colorado,325228,258746,258746,250543
2016,5101500US0802093,Park County (part),Congressional District 2 (115th Congress),Colorado,8676,7186,7186,7012
2016,5101500US0802117,Summit County,Congressional District 2 (115th Congress),Colorado,29269,24393,24393,22341
2016,5101500US0802123,Weld County (part),Congressional District 2 (115th Congress),Colorado,122,122,122,122
2016,5101500US0803003,Alamosa County,Congressional District 3 (115th Congress),Colorado,16353,12342,12342,11397
2016,5101500US0803007,Archuleta County,Congressional District 3 (115th Congress),Colorado,12355,10163,10163,9775
2016,5101500US0803021,Conejos County,Congressional District 3 (115th Congress),Colorado,8213,5972,5972,5811
2016,5101500US0803023,Costilla County,Congressional District 3 (115th Congress),Colorado,3590,2911,2911,2763
2016,5101500US0803027,Custer County,Congressional District 3 (115th Congress),Colorado,4375,3570,3570,3539
2016,5101500US0803029,Delta County,Congressional District 3 (115th Congress),Colorado,30221,23911,23911,23181
2016,5101500US0803033,Dolores County,Congressional District 3 (115th Congress),Colorado,1789,1428,1428,1422
2016,5101500US0803037,Eagle County (part),Congressional District 3 (115th Congress),Colorado,36988,28171,28171,23642
2016,5101500US0803045,Garfield County,Congressional District 3 (115th Congress),Colorado,57495,42522,42522,36037
