Year,State,state_fips,Congressional_District,District_dem_votes,District_rep_votes
2016,Alabama,01,Congressional District 1,103967.0,192270.0
2016,Alabama,01,Congressional District 2,98925.0,183652.0
2016,Alabama,01,Congressional District 3,95117.0,183965.0
2016,Alabama,01,Congressional District 4,53969.0,225667.0
2016,Alabama,01,Congressional District 5,97169.0,200644.0
2016,Alabama,01,Congressional District 6,116238.0,192024.0
2016,Alabama,01,Congressional District 7,164156.0,140027.0
2016,Alaska,02,Congressional District (at Large),0.0,0.0
2016,Arizona,04,Congressional District 1,126102.0,131809.0
2016,Arizona,04,Congressional District 2,154493.0,130223.0
2016,Arizona,04,Congressional District 3,124256.0,102991.0
2016,Arizona,04,Congressional District 4,93331.0,183177.0
2016,Arizona,04,Congressional District 5,133552.0,141998.0
2016,Arizona,04,Congressional District 6,140581.0,149472.0
2016,Arizona,04,Congressional District 7,98406.0,104630.0
2016,Arizona,04,Congressional District 8,140581.0,149472.0
2016,Arizona,04,Congressional District 9,133552.0,141998.0
2016,Arkansas,05,Congressional District 1,79143.0,169748.0
2016,Arkansas,05,Congressional District 2,127883.0,160782.0
2016,Arkansas,05,Congressional District 3,88505.0,182190.0
2016,Arkansas,05,Congressional District 4,84959.0,172148.0
2016,California,06,Congressional District 1,117310.0,173540.0
2016,California,06,Congressional District 10,108807.0,99187.0
2016,California,06,Congressional District 11,193282.0,70984.0
2016,California,06,Congressional District 12,303673.0,33165.0
2016,California,06,Congressional District 13,252272.0,47001.0
2016,California,06,Congressional District 14,241214.0,53178.0
2016,California,06,Congressional District 15,228656.0,45781.0
2016,California,06,Congressional District 16,86840.0,79719.0
2016,California,06,Congressional District 17,199501.0,50999.0
2016,California,06,Congressional District 18,214317.0,58319.0
2016,California,06,Congressional District 19,204099.0,57783.0
2016,California,06,Congressional District 2,223685.0,76322.0
2016,California,06,Congressional District 20,178952.0,61221.0
2016,California,06,Congressional District 21,68783.0,79401.0
2016,California,06,Congressional District 22,100396.0,100396.0
2016,California,06,Congressional District 23,104953.0,112903.0
2016,California,06,Congressional District 24,168071.0,110123.0
2016,California,06,Congressional District 25,177748.0,66969.0
2016,California,06,Congressional District 26,160343.0,109301.0
2016,California,06,Congressional District 27,178122.0,58968.0
2016,California,06,Congressional District 28,195786.0,61198.0
2016,California,06,Congressional District 29,146839.0,45899.0
